Geneid	AY31	AY32	AY33	AY34	AY35	AY36	AY37	AY38	AY39	AY40	AY41	AY42 	AY1	AY2	AY3	AY4	AY5	AY6	AY7	AY8	AY9	AY10	AY11	AY12
YDL246C	17.5	18.5	28.5	36.88	38.33	30.5	30.75	28.25	16.5	27	17.5	26.5	16	65.62	41.21	47.58	39.25	45	58.75	77.75	12.58	13.5	17.5	44.5
YDL243C	76	97	86.5	131.25	135	98.5	104.5	78	74.25	94.5	71.5	85	46	171.75	140.5	102	99	85	104.5	130	54	48	55	97
YDR387C	636.33	495.5	624.06	638.9	1089.75	815.87	1146.54	809	845.1	725.36	907.52	593.72	277.75	791.04	381.8	421.68	675.31	577.43	744.1	1009.73	302.58	400.56	325.09	482.47
YDL094C	3	6	3	12	1.58	3	2	4	4	1.38	5	3.12	1	11	5.05	6	4	3.12	2.12	10.12	1	0	4.5	0.24
YDR438W	138.04	115.04	139.86	187.25	194.47	125.78	189.17	120.99	149.33	120.08	157.61	95	104.28	254.16	139.06	166.67	218.08	219.89	185.5	266.89	60.72	113.35	70	121.39
YDR523C	15	7.38	13	17.09	32	34.25	27.22	28.1	11	24.5	16	19.19	8.12	34.49	18	20.61	39.96	20.49	43.25	53.76	9.12	6	13	16.32
YDR542W	12.49	9.07	13.89	13.5	33.4	20.4	19.16	16.51	22.44	12.89	15.92	14.97	6.05	44.64	17.74	19.31	24.44	36.7	28.45	37.83	7.71	11.4	9.24	14.68
YDR492W	2364	551.18	1876.22	584.32	3151.54	1981.15	3061.88	1846.97	2800.11	847.23	3569.62	682.86	2233.13	5133.65	443.5	496.07	5765.72	4201.88	2492.25	2674.08	1887.88	2932.04	567.5	949.97
YDR018C	65.25	142.67	69.39	204.14	81.17	117.5	100.07	89.25	60.12	130.25	83	116.06	39.38	90.7	139.6	158.42	88.33	67.08	133.37	127.33	28.27	37.21	85.61	116.75
YDL189W	434.12	312.25	429.5	357	805.93	635.75	731.5	555.33	548.61	515.25	602	302.5	374	858.48	312	347.67	769.17	769.5	758	973.81	216	326	202.06	307
YDR508C	2120.17	1405.92	2302.97	1489.68	3808.21	3379.96	3501.91	3196.08	2559.83	2556.67	2874.92	2081.83	1514.58	3559.78	1140.47	1244.64	3924.42	3849.3	4337.44	6492.56	1381.9	1834.93	1317.83	2172.58
YDR462W	149	130.08	156.33	227	344.25	268	254.17	233.08	181.33	167.75	177	130	120.75	297.63	189	171.5	235	247	310	354	103.17	105	112	175.75
YDR175C	102.38	64.58	117.1	101.26	182.62	153.97	154.84	130.29	90.32	80.65	133.41	75.79	70.67	192.19	78.57	66.66	127.61	146.22	171.25	149.13	54.75	56.24	37.83	75.35
YDR186C	2545.83	1309.85	2304.91	1714.84	3548.73	2534.91	3259.6	2299.03	2555.72	2160	3345.43	1587.93	1923.24	4734.63	1253.19	1286.61	4614.82	4055.21	2804.88	3583.5	1556.18	2176.55	951.85	1368.39
YDR150W	3829.63	4475.65	4093.24	5876.4	7016.47	5754.51	5891.49	5042.46	4168.77	4892.75	4655.63	3575.8	2760.23	8124.36	5365.73	6239.67	6679.47	6690.34	8504.23	11455.46	1842.88	2430.97	3282.91	4544.67
YDR243C	180.57	116.18	158.35	153.08	301.06	253.3	290.75	199.79	167.53	181.17	251.26	147.62	99.2	317.07	96.5	99.46	248.86	244.25	242.73	311.99	67	100.55	59.67	106.5
YDL182W	1184.58	328.25	1358.77	307.5	3368.6	3786.25	2738	3121.35	1359.99	584.2	1344.31	474.12	1126.75	3337.19	199.1	289.5	4043.9	2843.96	4573.66	4127.79	1179.92	1152.27	237.4	482.27
YDR362C	161.58	126	155.57	193.01	273.78	218.32	219.49	187.19	183.98	193.02	179.35	120.31	130.85	298.18	170.95	163.56	233.33	244.74	261.3	341.84	97.08	102.6	98.3	163.5
YDR232W	1814.02	1004.81	1855.28	1240.75	3367.44	2266.42	2889.38	2008.21	2456.85	1648.17	2435.13	1446.66	1092.31	3223.3	957.47	896.88	2731.09	2839.64	2320.74	3157.5	887.19	1363.96	778.9	1220.23
YDR158W	3228.52	2725.35	3168.3	3317.45	5988.5	5503.92	4918.5	5059.58	3703.62	3710.67	4106.86	3205.5	2488.75	6336.04	2194.62	2406.02	5075.45	3849.52	4999.13	4869.69	1962.17	2594.46	1725.58	2837.53
YDR439W	242.09	209.08	236.28	274.34	363.18	258.21	318.3	248.79	287.58	301.23	319.17	215.09	145.51	430.39	165.75	207.09	299	299.82	288.5	356.12	103	129.58	115.52	216.83
YDL206W	335.57	337.31	323.35	429.5	594.92	534.35	587.8	515.75	424.95	426.56	528.22	360.12	262.25	521.86	286.42	310.16	498.33	441.95	564.32	948.95	195.25	269.06	226.84	299.69
YDR125C	150.41	66.31	177.18	105.48	355.29	290.4	345.48	271.27	235.75	87.05	243.73	62.41	96.29	269.77	54.22	58.81	289.17	222.04	269.61	429.86	87.12	99.12	41.3	48.38
YDR338C	403.36	237.76	399.81	311.06	702.5	500.26	609.42	425.46	483.87	360.78	513.95	285.94	285.05	661.97	210.64	229.48	628.92	533.92	542.99	703.8	184.92	294.42	168.25	288.56
YDR526C	2.5	0.5	0.5	1.62	7.5	3.5	4.61	2.5	7	0.5	3	0.5	1	5	1	2.5	4	1.5	5.92	6	0	3.25	1	0.5
YDR533C	252.5	228.29	317.58	339.15	654.08	876	694.33	712.79	379.42	457.58	384.08	354.5	110	374.23	201.5	207.4	327.25	215.47	593.48	531.75	116.29	129.27	184.19	340.25
YDR272W	412	400.5	461.83	556.83	681.33	542.5	593.5	455.55	456.5	449	482.33	369.4	394.64	939.13	460.17	494.16	655	585.13	527.02	663.83	185.13	303.71	258.76	450.47
YDR197W	480.36	377.36	512.17	428.7	676.44	558.75	600.33	524.77	549.38	420.25	655.87	348.05	230.5	594.97	203.88	214.41	469.46	362.17	409.63	557.92	181.58	248.58	155	269.96
YDR512C	118.25	80	141.5	137.67	202.57	212.5	186	183.42	109	123.5	126.5	99	144.2	310.44	173.21	148.96	262	225.89	247.22	256.83	104	124.25	105.92	203.9
YDR489W	203.72	185.19	190.44	201.41	346.39	305.35	318.25	274.49	229.55	280.57	266.44	217.78	112.89	336.98	149.81	154.75	287.22	259.04	290.07	355.22	85.44	113.57	125.83	239.94
YDR299W	744.71	339.35	692.33	399.46	1033.25	981.77	947	769.04	707.06	625.21	835.61	403.49	469.18	1265.19	317.14	355.03	1048.76	892.03	1029.06	1166.91	300	405.17	295.65	465.51
YDL015C	2203	1552.99	2286.67	1838.58	3506	2855.5	3333.25	2613	2929.08	2427.09	3060.5	1927.58	1522.12	3254.69	1294.04	1440.33	2741.33	2414.68	2562.5	3332.46	1281.23	1764.25	1204.58	1873.85
YDR304C	1081.32	1071.46	1078.38	1293.08	1274	1030.06	1161	886	1163	1087.64	1218.78	929	938.5	2310.53	1313.93	1324.69	1268.43	1281.47	1150.89	1429.17	687.08	938.92	744.53	1252.86
YDR271C	7.79	15.52	9.79	16.47	24	19.3	21	2.4	14	12.4	20.07	13.59	12.72	27.59	7.48	16	21.83	9.45	15.79	26.39	10.78	15	10	21.18
YDL181W	172	186.1	202.5	260.67	295.5	351	315.75	256	208.5	336.5	228	272.5	99.17	287.55	225.67	188.75	193.5	137.13	273.92	282.25	134.5	96.8	203.5	309.08
YDR367W	283	130	277.33	168.67	581.1	396.25	558.33	362	324.81	185	286.12	119	183.67	552.42	131	164.5	557.27	480	482	587.33	205	236	110.83	207
YDR085C	1057.29	1496.42	1113.12	2158.02	1188.25	1016.89	1079.87	956.62	1182.92	4048.39	1377.85	3167.15	838.04	2028.19	1696	1813.8	895.25	715.65	1065.22	1390.58	465.06	688.33	2050.58	3190.07
YDL097C	1577.64	1637.41	1638.77	1980.83	2844.75	2143.46	2507.52	1983.17	1789.22	1975.5	2041.77	1387	1233.5	3000.02	1563.5	1707.23	2481.98	2273.25	2223.12	2713.5	916.97	1206.83	1063.95	1628.72
YDL139C	34	22.6	33	36.53	56.25	37.25	48.5	38.25	28.75	33.25	46.25	23.5	23.5	93	34.5	33.44	60.75	72.25	50.25	65	23.25	33.75	24	30.5
YDR200C	610.8	625.52	624.23	775.7	947.02	898.04	958.23	838.81	703.09	835.9	847.42	646.44	408.17	1029.5	568.73	717.63	848.97	776.93	933.88	1136.44	295.59	418.08	408.38	599.46
YDR191W	48.2	41.42	65.17	77.08	79.8	60.57	63.52	39.1	60.42	85.05	69.56	56.69	37.54	141.33	70.01	60.91	75.5	91.62	71.59	85.75	28.62	45	43.49	72.65
YDR451C	81.06	192.17	77.5	239.83	132.75	211.1	84.42	182	78.58	131.48	133	78	48.5	149.98	209.5	214	92	59	184.83	155.5	56	62.07	69	90.08
YDR469W	327.74	231.22	307.5	303	418.83	364	371.75	304.03	318.15	380	425.5	232	221.5	548.5	225.31	234.03	389	260	265.32	281.44	93	174.9	151	238.48
YDR470C	311.21	265	304	323.07	461.29	436	425	396	315	346.33	359	291.92	191.25	485.83	222.2	246.06	415.71	350.05	439.5	476.68	170	196.71	170.75	326.33
YDR105C	510.94	353.92	565.58	496.92	868.18	615.74	859.21	538.25	627.75	462.39	744.03	409.35	329.12	925.79	378.31	385.98	767.71	786.72	614.95	986.98	262.06	388.82	237.97	486.75
YDR483W	2322.55	1937.33	2366.02	2345.98	3567.52	2769.75	3071.25	2464.62	2513.63	2693.93	2550	2142.17	2049.58	4459.6	2026.19	2111.12	3356	3493.57	3031.61	3932.75	1299	1719.64	1416.67	2438.6
YDL123W	123	169.5	121.06	203	300.92	243.5	266.22	241.75	183.5	401	207	327	71	205.82	143	135	209.17	163.1	216	290	59	70	145	253
YDL199C	246.25	391.56	300.57	517.5	595.35	548.5	607.86	508.83	379.83	472	376.86	408	155.5	358.38	313.05	317.42	410.5	373.75	522.5	889.75	111	196.25	190	342.12
YDR505C	1033.19	1200.67	1099.46	1539.25	1996.75	1814.23	1650.5	1638.36	1201.03	1671.82	1333.93	1299.15	751.26	1894.57	1239.52	1260.14	1848.93	1431.55	1954.88	2513.11	626.71	762.93	849.05	1388.94
YDL045W-A	204	158	216.75	188.67	311.75	313	339	288	234	224	257	157.75	129	331.56	145	153.19	260.5	194	282.5	286.83	108.5	114	112.25	173.5
YDL045C	335.42	405.33	356.18	578.61	500.67	419.96	499.94	367	383.5	543.42	481.58	390	230.62	602.08	432.32	408.23	446.05	425.31	377.25	564	169.25	228	239.41	405.5
YDR361C	708.32	305.68	689.17	364.57	996	816	983.99	688	704.07	554.25	786.92	349.1	472.79	1288.21	250.93	315.46	904.55	747.1	817.56	1050.25	306.5	431.1	307.5	475.27
YDR406W-A	1	1.5	1.83	3.17	4.67	3	4.5	2.17	3.17	2.1	2	1.5	2	4	1	1.1	5	2.6	4.74	7.4	1.5	3.5	1.5	2
YDR199W	2.06	0.28	4	1.39	2	0.06	0.5	0	1.5	2.06	0	1	2	2.15	0	0	0.5	1.06	1.33	1.11	0	0.08	0.42	0.06
YDR266C	1667.28	933.98	1588.78	1090.26	2666.12	1880.17	2263.42	1688.49	1712.09	1426.02	2086.64	961.63	1038.78	2677.38	741.09	772.51	2393.24	2030.6	1918.41	2403.27	731.41	1056	576.84	945.31
YDL242W	1.5	3	1	1	5	8	2	5	1	4	5	5	0	5.5	1	2	2	1.6	5.5	2.12	2	1	0	1
YDR002W	1054	1008	1075.39	1391.17	1650.56	1134.56	1417.75	1019.67	1130.78	1109.95	1160.17	766.82	1285.11	2916.17	1578.82	1527.39	1866.25	1703.35	1340.75	1455.46	584	859	700.72	1193.11
YDR214W	1766.91	1923.5	1922.74	2448.8	4097.66	3069.33	3504.56	2704.72	2317.53	2555.76	2574.94	2134.94	1154.19	2868.52	1880.99	1955.42	2785.34	2970.58	3015.78	3769.11	784.31	1252.33	1096.49	1906.57
YDR130C	113.67	111.69	122.3	185.67	145.33	119.83	120	91.22	115.52	138.32	111.78	111.22	99.5	245.88	140.01	150.13	203.29	178.03	146.89	229.92	57	90.52	62.18	123.81
YDL176W	195.17	129.9	136.25	183.42	280.71	201.72	204	190.81	176.1	159.89	234.25	117.88	132.12	332.5	94.25	132.01	276.85	269.5	216.5	262.12	98	132.35	67	126.29
YDR358W	542.6	776.48	579.18	996.39	963.28	720.1	906.32	647.6	603.26	890.59	770.77	688.22	405.55	970.89	810	728.64	825.18	718.12	568	722.14	239.41	351.74	400.47	582.6
YDR544C	42.59	68.17	51.86	71.42	100.74	93.96	99.6	76.26	77.2	82.84	113.25	77.87	27.16	59.87	61.52	70.16	84.35	70.59	108.81	191.08	24.03	44.57	44.32	63.02
YDR460W	73	45.5	76.11	58.53	129.43	101.08	109.12	72.35	70.43	85.12	91.5	59.5	45.75	146.5	37.53	59.22	119.5	112	91.06	104.25	32.12	44.17	28	64
snR84	1636.89	1486.31	1747.93	1614.31	2474.17	1791.83	1877.25	1634.83	1742.5	1609.33	1484.75	1364	1463.26	2632.96	900.5	1205.01	1864.25	2222.17	1551.77	1730.67	1185.17	1427.85	1127.87	1621.5
YDR034W-B	74	129.75	93.62	141	158	156	195	173	103.25	392.25	86	290	35	115.08	158.83	199.12	142	86.75	163.83	148.05	22.5	54	298.21	432.22
YDL028C	376.06	346.25	347.5	392.78	633.77	465.48	576.87	462.54	365.65	410.84	444.82	289.05	241.99	618.95	309.56	315.36	599.22	552.21	560.76	765.86	149.5	226	186.79	282.84
YDR061W	135.54	88.5	161.07	144.31	262.53	209.87	235.55	173.07	161.47	163.33	176.99	130.24	118.6	355.97	163.29	162.83	265.78	262.26	272.25	347.95	70.34	124.75	86.43	154.23
YDR060W	3077.4	1102.42	3081.97	1277.87	4181.85	3040.89	3803.97	2572.77	3106.24	1947.07	3178.86	1157.19	2221.83	5351.4	807.12	886.24	4003.76	3743.95	3190.48	4427.83	1267.17	1805.09	740.31	1403.83
YDR169C-A	12	8	6	10	17	13	9	11	12	12	8	12	9	5	10.25	4	9.25	11.25	8.25	10	1	7	9	10.46
YDR363W	226.08	161.43	202.95	187.27	293.38	234.54	253.68	166.07	202.78	181.38	247.69	138.3	158.12	351.4	134	137.08	277.52	215.27	247.21	305.75	95.97	114.59	82.85	147.09
YDR422C	951.67	699.94	936.24	907.67	1726.91	1330.5	1534.56	1160.77	1023.58	962.92	1183.5	732.5	660.5	1757.69	768.25	823.33	1610.91	1538.42	1485.25	2078.54	506.08	701.14	484.83	819.17
YDR119W	2473.02	1103.1	2412.22	1336.45	3717.6	2752.52	3458.42	2411.92	2666.82	1461	2995.55	1088.49	1767.57	4177.67	995.12	1065.98	3368.36	3572.57	3100.01	4570.73	1144.98	1755.83	712.59	1218.83
tR(ACG)D	1	0	0	1	2	1	2	3	4	4	3	2	0	3	0	1	2	0	2.8	2	0	1	0	2
YDR097C	531.5	631.1	514.2	831.43	900.58	956.83	862.14	802.69	469.5	661.48	536.66	444.55	332.3	845.1	499.8	558.98	856.77	716.05	885.07	1329.86	218.19	280.19	234.22	461.13
YDR042C	151.81	114.61	165.33	128.29	568.38	403.89	548	396.96	328.62	259.54	272.59	128.47	85.29	271.84	72.51	89.5	319	232.67	293.5	361.42	79.07	110	68	97.25
YDL160C	2269.75	1651.33	2195	2001.58	3127.06	2152.85	2773.75	2022.08	2371.75	2308.5	2927.5	1836.67	1455.42	3714.5	1508.42	1638.31	2702.16	2537.42	2343.83	2753.82	1150.6	1628.4	1283	2092.69
YDR425W	695.77	893.42	686.08	1067.98	1227.09	888.79	1227.33	858.26	858	1135.5	987.72	853.46	342.75	873.72	576.07	678.33	853	728.25	731.81	926.25	255.42	420.07	437.66	568.29
snR13	319.92	175.5	305.58	211	398	271.33	372.67	283.5	307.62	208	254.13	209	139	323.54	89.42	96.75	203.5	222.75	170.67	117	58	80.33	53	88.5
YDR228C	641.62	465.26	587.36	615.07	1066.28	855.42	909.31	703.33	590.55	707.68	790.84	536.7	401.96	989.21	410.33	448.45	921.17	833.26	794.02	1138.87	241.87	399.8	312.74	477.03
YDR319C	403.24	517.75	402.81	634.21	528	469.79	547.5	427.12	548.37	744.99	515.52	507.48	272	597.17	494.5	502	489	376.83	421.14	565.29	226.58	287.5	399.33	584.88
YDR471W	4269.97	2055.36	4397.33	2211.12	5802.1	4144.58	5645.42	3952.27	4826.33	3399.33	5035.27	2504	3827.46	8166.79	1905.75	1910.38	5883.58	4889.46	4218.93	4410.17	2825.08	3890.4	2249	3336.08
YDR089W	324.21	382	239.37	578.13	466.73	607.62	376.68	430.1	328.31	579.29	422.48	356.28	248.76	435.42	340.15	359.8	568.25	415.42	518.31	753.89	126.31	221.75	214.62	333.62
tD(GUC)D	1.75	0.38	0.1	0.62	1.47	0.38	0.38	0.62	0.12	0.12	0.38	0.35	0.25	2.62	0.12	1	1.75	1.45	0.38	0.25	0.25	1.12	1.12	0.43
YDR275W	200.97	54.76	179.81	53.48	230.8	144.29	231	148.31	181.31	133.77	207.21	93.64	162.2	383.97	48.14	45.57	276.28	262.27	187.45	200.66	108	125.48	62.13	104.9
YDR043C	553	399.53	547.6	512.57	618.5	421.64	619	322	526.75	587.06	568.55	380.12	328.5	982.07	556.5	540.27	651.75	378.75	389.17	386.06	254	382.12	394.1	446.5
YDR129C	2770.33	3253.03	2955.47	4289.94	4404.11	3614.92	3952.17	3162.62	3114.93	4942.36	3037.9	3942.11	1830.58	4317.02	2934.99	3241.78	3285.72	2935.17	3043.22	3643.03	1256.5	1768.8	2294.13	3821.83
YDR136C	1.39	2.13	1.33	4.17	7	5.15	5.46	6.22	3.5	2.07	2.21	4.24	2.5	4.38	0.78	5.3	3.07	2.67	9.57	5.5	4.5	1	0.83	4.12
YDL066W	4083.93	3466.81	4397.17	4080.63	7738.13	7886.28	6858.5	6871.92	4735.94	4904.8	5070	4214	2992	7067.59	2762.83	3051.56	6568.12	5498.38	7051.08	8210.46	2578.92	3075.67	2562.83	3857.54
YDR302W	214.72	183.33	225.39	249.5	327.17	226.33	283.33	212	264.92	156.08	242.67	146.5	148	383.42	238.06	230.11	307.92	248.17	292.33	312.67	85.5	125.92	89.67	209
YDR239C	402.23	296.46	441.18	399.01	808.98	654.54	732.25	589.41	470.43	405.74	566.54	333.29	301.4	794.31	301.17	339.96	797.92	717.94	806.69	1075.57	212.37	301.37	186.89	326.25
YDR539W	852.5	678.5	782	938.67	1181.5	782.17	951.06	759.06	819	813	842.83	624	465	1207.89	553.33	587.5	923.5	883.92	705.17	978.03	383.67	548.5	361	590.75
tK(CUU)D1	2.07	0.11	0.22	0.11	0.1	0	2.25	0	2	0	0.31	0	0.06	3	0	1.17	0.1	1	0	1.57	0	1	1	0.22
YDL125C	1075.25	757.8	1184.79	962.28	1629.2	1139.06	1467.25	1029.5	1200.58	1023.25	1240.92	820	720.74	2137.24	803.5	838.75	1433.62	1132.62	1117.62	1167.47	657	888.56	669.44	1005.27
YDR493W	225	135	215.67	159	379.06	343.25	399.03	297	242.5	179	266	161.22	116.33	314.67	122.5	121.33	233	170	286.5	322	126	108	97	154.67
YDR101C	1511.99	588.14	1481	706.68	2127.92	1657.64	1801.91	1435.02	1486.2	1037.5	1462.93	721.29	983.04	2538.21	474.79	516.42	1778.91	1755	1719.57	2162.26	689	884.46	488.91	946.82
YDR182W-A	9	11.07	13.56	12.5	31.65	20.5	21	18.72	7.17	12.5	13	16.13	4.83	16.31	9.19	15.69	15.62	22	22.07	46	4.5	5.15	10.45	13.06
YDR212W	1456.52	951.87	1521.2	1144.2	2340.42	1619.73	2039.1	1512.98	1613.82	1342.62	1622.38	922.44	995.06	2541.64	794.27	837.12	1786	1883.09	1631.39	2155.73	717.45	1004.29	506.38	929.74
YDR476C	655.06	624	644.35	865	1251.63	1000.25	1164.5	987.5	962.18	1131.32	934	954.33	318.16	1018.73	638.82	641.22	969.5	713.33	930.57	1114.98	337.33	544.63	478	785.28
YDL131W	1667.17	1221.3	1781.02	1544	3433.02	3724.25	2894.82	3038.46	1749.36	1681.27	2005.05	1418.5	1534.42	3796.15	1064.77	1168.17	3790.81	2869.25	3896.06	3756.05	1247.33	1498.32	820.9	1506.36
YDR458C	403.37	237.57	375	336.25	564.9	344.64	463.5	310.17	414.02	341.94	419.08	221.38	351.5	697.08	244.67	278	524.67	541.89	420.33	603.92	164	259.07	118.69	234.06
YDR081C	1172.33	892.34	1167.86	1141.28	2014.32	1729.67	1810.26	1440.45	1234.58	1274.6	1534.96	880.09	701.22	1864.52	773.36	888.27	1779	1629.58	1669.98	2121.7	564.5	811.45	536.99	938.97
YDL071C	45	34.5	30.25	37.33	27	9	17	11	39.5	39.33	48.33	26	19	56	31	36	9.83	10.5	16	21	10	33	17	25.1
YDR113C	151.41	308.99	151.03	420.78	230.26	228.96	188.65	175.69	150.47	209.63	190.2	170.71	133.52	277.86	384.24	406.72	274.6	173.74	274.15	303.42	87.39	110.82	152.74	279.63
YDR168W	1315.11	1073.23	1351	1327.54	2015.62	1524.13	1840.67	1328.5	1433.58	1626	1626.17	1223.33	1078.37	2564.21	1109.25	1140.11	1908.81	1621.09	1435.83	1671.98	654	898.58	830.26	1167.98
YDR520C	278.58	211.25	282.05	285.67	524.98	357.53	426.42	322.9	297.25	399.5	401.12	303	200.17	558.06	194.12	253.64	453.5	411.92	407.93	520.73	147	202	181.5	282.65
YDR307W	554.17	543.04	590.01	762.79	1010.5	895.22	951.42	771.31	771.1	781.46	868.35	575.34	354.36	869.98	472.1	533.79	810.88	689.15	842.61	1193.89	287.07	427.89	331.5	543.04
YDR265W	118	105.98	104	122.95	151.83	122.75	169.63	112.66	101.58	116.12	137.14	97.48	101.33	244.48	101.41	91.06	174.38	156.58	150.69	179.15	48.44	96.33	72.75	119.56
YDL076C	266.5	195	259	225.08	398.99	280.62	369.5	248	279.8	309.12	347.83	220.05	191.4	612.52	245.57	220.2	484.99	355.62	372.07	441.24	133	206.15	165.6	320.51
YDL006W	169.25	180	155.62	218.33	192	143.42	161.32	91.5	142.17	168.5	144	113	182.25	421.49	241	257.72	219.06	211.24	192.42	236.06	107.5	132.5	112	201.56
YDL086W	1409.28	1152.72	1336.17	1454	2655.18	2457.82	2519.8	2177.11	1795.51	1916.37	1959.43	1597	1006.1	2459.75	1238.76	1239.72	2194.25	1964.92	2292.96	2493.42	874.28	1196.5	1040.25	1650.08
YDR238C	4118.65	3233.61	4145.14	4264.46	6661.43	4932.45	5669.06	4326.15	4176.37	4103.39	4825.29	3014.33	3049.99	7203.84	2857.39	2976.36	5761.23	4954.19	4756.19	5748.51	1945	2730.65	1792.83	3014.63
YDR077W	50149.03	29246.39	50648.31	31944.59	88488.13	79573.87	80694.64	78493.2	68780.13	51157.64	74225.8	44480.4	36520.42	73285.44	22518.37	26061.97	73353.46	66979.73	80616.01	90181.6	39529.41	47642.96	28285.26	37563.42
YDR381C-A	103.5	86	117.17	89.06	186.5	161	130.1	122.28	89	83.3	104	68	96	259.19	107.25	98.17	165	172.5	197.33	203	52	90	78.33	134.5
YDL023C	1	0	0.28	0.03	1.57	0	2.5	0	0.09	1	0	0	0	0.25	0	3	2.22	1	1.06	4	1	1	0	0
YDL083C	2383.75	1118.87	2403	1202.5	3273.25	2217.13	3131.77	1988	2527.33	1530.25	2421.65	1063.5	1842.44	4415.15	705.5	670.35	3206.38	2946.83	2081.61	2239.78	1456.17	2029.72	757.39	1302.94
YDR036C	1138.31	736.06	1313.79	1034.12	2086.42	1964.34	2125.5	1847.56	1442.32	1216.04	1626.82	914.19	603.61	1522.68	603	612.07	1383.36	1052	1719.55	2058.5	626.33	647.75	504.36	834.55
YDR057W	361.43	316.02	386.99	331.79	603.82	499.43	555.07	475.19	360.77	446.05	448.31	284.75	211.72	582.39	234.19	257.03	487.55	479.5	510.01	623.32	134.41	238.44	168.78	276.07
YDR513W	1003.33	828.25	1039.83	1061	1885	2206.35	1893.5	2128.5	1280.06	1302.5	1484	1143.92	592.79	1457	855.6	931.17	1538.83	1046.08	1807.72	1936.17	711.67	853	938.25	1272.83
YDR487C	1891.58	1211.9	1988.17	1432.83	3419.08	2756	3138.75	2542.75	2203.55	1813	2406.38	1590.83	1395.83	3310.72	1065.43	999.2	3037.67	2255.25	2487.47	2484.72	1280.98	1570.5	1145.5	1716.76
YDR066C	69	25.07	70.12	33.11	88.04	71.5	72	66.12	68	60.04	62	34.12	56	124.2	22.1	25.17	104.93	63.07	66.17	66.19	37	52	25	41
YDR352W	351.55	189.09	383.63	210.16	602.56	373.99	463.6	322	360.9	261.28	378.62	223.53	258.47	730.05	224.47	235.23	568.55	541.86	504.54	660.62	247.2	303.15	168.2	323.12
YDR278C	11.5	2.22	0.71	6	3.38	4	1	0.21	12.75	19.6	0	0	6.5	0.93	0.5	0.37	1.71	0.25	4.6	0.27	3.5	0.17	5.21	1.99
YDR079C-A	32	24.25	32	35	62	35.75	46	40.5	29	21	32.07	22	40	84.75	20	22	61.25	74	33.5	55.25	14	29	15	26
YDR204W	654.89	657.29	695.06	772.67	1121.83	921.22	979	812.77	702.43	703.07	761.22	633.16	400.93	1100.77	622.72	653.15	972.97	821.92	850.17	1187.16	317.04	456.5	430.75	616.2
YDL247W-A	63.5	83	83	98	164.17	117.17	122.5	144	94.83	91	111.5	94	76.67	201.33	110.5	138	197	206	282	367.17	45.5	76.5	117.5	147
YDL024C	18	17.37	14.3	17.12	40	52.78	32	37.03	23.66	59.87	27	32.65	7	29.87	21.56	20.43	42.17	23.5	35.5	55.17	8.83	5	20	38.17
tA(AGC)D	0.22	0.33	0	0	1	0	0.5	1.5	0	0	0	0	0	0	0	0	0	2.25	1	0	0	1	0	1
YDR109C	170.19	155.63	179.46	216.04	337.04	242.23	277.74	221.39	180.46	236.6	203.97	160.07	136.34	342.21	162.07	191.85	265.62	329.66	270.76	370.16	67.06	99.06	113.42	175.85
YDR466W	1086.07	762.86	1073.7	950.59	1712.62	1350.61	1546.93	1264.33	1140.79	1062.39	1339	787.09	666.54	1697.7	655.79	704.34	1599.57	1593.88	1446.58	2112.29	483.62	724.76	454.62	781.62
YDR427W	1610.36	1428.11	1752.13	1717.39	2484.55	1905.91	2423.58	1835.75	1808.97	1830.54	2001.99	1347.07	1119.61	2773.83	1276.83	1317.23	2368.5	1831.25	1625	1992.53	681.64	1005.23	907	1278.83
YDL044C	216.9	159.6	220.55	198.43	329.65	252	282.39	220.56	196	182.08	287.25	142	139.08	379	180.47	188.17	318.81	268.58	290.7	360.81	110	159.67	112.38	181.2
YDL079C	139.09	108	135.25	162.75	225.61	179.21	195.88	157.05	122.08	149.88	152.78	129	103.5	195.67	167.5	202.67	214.85	225.5	258.99	363.38	53	93.8	95	151.94
YDR193W	0.39	1	1.41	0	0.97	0.29	1.22	3.16	0.27	2.66	0.59	0.32	0.58	0.99	0.05	1.41	0.72	1.05	0	1.05	0.17	0.17	0.22	0.31
YDR305C	224	230.5	242.83	260.74	362.42	288.33	384	269	202.22	259.67	275.33	183.42	142.92	470.32	200	213.21	375	322.28	320.25	447.58	131.25	184.5	168.92	211.88
YDR377W	606	532.5	721.08	747.67	1191.4	1073.5	1070	860	822	813.17	774.53	673	489.17	1231.67	623.83	604.08	908.5	701	930.75	873.08	464.25	455.07	491.38	843.43
YDR219C	188.62	213.12	236.63	282.62	327.75	256.67	299.14	218.12	216.53	200.6	224.78	126.75	133.5	353.24	218.73	183.59	289.92	262.81	263.54	371.97	84.5	148.06	66.33	128.14
YDR416W	266.5	206.3	284.53	264.67	372.11	320.8	315.72	259.25	275.83	251.92	304.03	161.74	220.83	576.01	234.52	230.43	426	352.84	351.42	421.66	120.34	187.22	113.12	189.65
YDR365C	561.31	244.88	596.08	325.81	792.33	583.46	702.27	518.18	570.67	370.45	648.07	259.71	484.61	1222.82	223.62	230.63	1043.99	990.36	700.7	814.67	263.27	422.85	158.45	221.12
