Geneid	AY31	AY32	AY33	AY34	AY35	AY36	AY37	AY38	AY39	AY40	AY41	AY42 	AY1	AY2	AY3	AY4	AY5	AY6	AY7	AY8	AY9	AY10	AY11	AY12
YNR001C	2376.25	2041.69	2996.79	2678.75	5986.04	6848.08	5407.27	6018.61	3329.05	4441.07	3434.08	3554.33	1550.5	3433.42	1552.95	1611.4	3663.42	2980.5	4198.33	4473.06	1667.75	1532.5	1721.62	2664.42
YNL091W	2345.88	1662.49	2291.78	2133.2	3854.13	3044.86	3508.84	2787.56	2515.4	2242.74	2876.72	1636.42	1550.22	3874.84	1365.53	1527.5	3605.12	3572.33	3289.45	4061.01	1047.12	1481.17	950.18	1493.51
YNL157W	236.35	219.75	248.35	339.08	379	288.57	334.17	232.58	240.5	417	257.15	288.57	227.83	630.07	321.25	336.07	403.6	362.5	318.5	401.73	128.5	180	212.83	394.47
YNL315C	361	175	397.08	236.57	620.5	529.57	545.25	443.9	404.38	204.88	448.79	198	260.5	754.1	226.5	193.57	542.5	455.85	572.58	781.75	230	226.5	142.5	234.75
YNL221C	1179.9	741.51	1023.95	772.3	1849.08	1941.89	1688.5	1727.57	1191.79	1147.19	1416.32	788.51	841.84	1928.28	558.06	656.16	2018.85	1926.04	2165.2	2690.06	535.04	733.56	560.67	739.43
YNR052C	1224.5	896.25	1136.08	1126.5	1833.92	1451.58	1669.5	1274.08	1218.39	1244.92	1479.33	979.17	696.43	2041.67	804.83	821.79	1776.11	1496.68	1418.1	1900.93	618	823.5	625.67	1000.08
YNL061W	1819.82	830.84	1842.72	956.99	2797.44	2113.82	2446.13	1800.17	1859.9	1352.14	1860.72	932.75	1144.75	2835.13	604.18	676.76	2249.14	2197.64	2099.95	2821.09	725.14	1040.93	636.8	1029.02
YNL284C	113.92	68.16	145.12	122.26	214.52	188.12	199	154.25	145.1	121.38	142.33	88.33	104.06	323.87	120.64	126.1	173.05	206.51	220.93	323.05	77	76.12	57.88	117.76
YNR040W	172.25	130.33	150.73	165	369.56	378.12	364.5	332.38	228.25	212.35	251.5	135	100.06	252.43	113	101.12	232	190.66	338.69	366.3	88	93	88.81	124.12
YNL246W	160	105.1	142	160.33	233	170.25	207.12	144	151.62	142.25	179.12	117	114	320.06	113	139	253.42	222.5	209	289.58	66	128.25	76.12	140
YNL097W-A	18.11	10	20	12	26	31.5	33	21	22	27	19	13	9.75	33	15	13	22	26	37	43	9	14.06	26.75	34
YNL121C	1497.21	939	1801.04	1125.17	2782.08	2347.25	2615.42	1921.17	1690.03	1163.18	1928.25	895.08	1216.5	3040.96	957.92	865.51	2303.48	2411.67	2536.35	3945.79	871	988.5	540.67	957.75
snR191	1101.67	824.87	1105.5	1000.53	1644.06	1226.08	1370.48	1153.33	1236.28	1213.18	1150.42	989.25	1067.5	1827.21	753.85	1040.63	1252.68	1500.17	1271	1246.58	855.33	986	877.67	1204.25
YNL043C	5	17	1	25	9	5	7	4	5	27	5	25.08	3	12.06	15	23.25	10	3	2	2.05	0	2	28.06	38
YNR055C	1195.88	767.17	1221.3	944.39	1969.25	1378	1662.17	1273	1438.1	924	1411	785.3	710.73	1803.53	684.23	721.27	1555.75	1308.26	1471.75	2114.29	514.5	824.08	382.5	690.64
YNL039W	531.92	377.16	547	499.89	984.83	706.45	858.62	639.89	594.57	490.56	640.5	327.73	439.62	975.57	420.67	435.61	794.06	780.25	800.32	969.54	270	365	232.67	305.81
YNR036C	518.5	336.42	618	490.5	918.5	859.5	864.25	695	637.5	437	612.55	381.5	353.83	1083.33	424.83	387	765.88	704	921.5	918.1	413	467.75	303	543.33
YNL304W	65.25	76.58	69.5	86	90.31	66.79	89.75	74.5	84.17	90.75	107.33	58.5	50.75	152.5	95.5	87.62	109	88.72	74.77	99.06	32	50.5	45	68.5
YNL119W	605.92	294.5	519.36	364.22	756.6	682.28	706.25	545.25	548.05	524.25	669.68	326.65	370.67	949.32	308.23	308.67	755.75	599.25	672.29	810.33	241.33	326	235.08	443.4
YNL034W	12.11	13.3	19.08	24.27	14.93	10.58	12.17	9	10.5	23.92	41.47	19.95	11.07	32.67	11.91	12.83	7.47	8	16.51	16.82	15.5	11.55	8.08	17.05
YNL187W	121.07	91.04	120.33	109.48	203	172.14	181.25	135.32	147.51	102.08	152.14	97.39	111.24	305.86	126.55	116.69	216.11	224.11	300.78	321.34	84	112.5	97.83	111.39
YNL310C	377	348.17	367.25	426.17	720.75	563.17	676.05	511	444.17	452	473.78	383.25	294	701.25	377	348.25	642	488.5	514	680.3	202.5	296.12	251	420.92
YNL277W	119.3	435.83	124.92	508.5	208.25	172.42	194.43	157.25	122.6	402.1	173.33	343	90.5	191.57	382.08	470.25	230.35	270.38	177.75	424.04	46.5	85.33	195.5	321.33
YNL126W	313.55	489.9	321.81	599.4	473.3	470.26	456.65	394.28	325.19	455.94	439.08	302.92	188.15	465.67	455.26	529.13	360.77	343.92	476.87	623.59	117.16	196.9	215.15	334.63
tL(UAA)N	1	2	0	0	0	0.25	0.67	1	0.25	0	1	0.31	0	2.39	0	1	0	1	0	0	0	1	0	0
YNL210W	0.29	0.95	1.19	0.17	1.13	0.23	1.23	0.1	1.05	1.17	1.9	0.93	0.28	4.03	1.56	1.28	0.58	0.42	0.32	2.52	0.2	0.38	1.02	2.69
YNR041C	146.45	151.82	188.11	186.38	323.75	340.11	253.14	315.25	215	195	213	122.5	99	305.12	139.5	193.1	238	287.21	391	567.5	95	138.1	85.12	161.11
YNL193W	475.81	455.81	460.37	566.61	963.33	702.57	884.4	675.06	517.83	527.15	612.4	362.16	214.07	713.94	337.92	347.91	666.7	500.47	627.54	832.51	177.17	265.58	241.81	370.84
YNL301C	1890.83	816.4	1889.67	946.83	3120.97	2091.75	2884.67	1846.17	1980.83	1404	2124.1	1040.62	1078.37	3143.75	586.5	613.33	2560.67	1819.4	1819.4	1809.64	865	1293.8	731	1209.5
YNL263C	1010.49	815.61	1118.33	997.93	1836.61	1416.33	1720.67	1380	1456.09	1136.81	1577.62	944.81	607.75	1647.49	711.26	798.54	1480.66	1297.36	1429	1920.78	687.58	878.83	631.75	928.79
YNL059C	875.07	652.56	861.84	928.72	1418.14	1059.53	1238.56	855.35	911.33	858.72	1110.1	602.87	632.2	1603.83	654.32	732.41	1205.1	1199.38	1031.79	1264.85	333.1	537.42	344.92	589.1
YNL028W	0.18	1.06	1.1	1	8.11	8.33	5	4	4.06	2.58	3.62	0	0.25	3.1	0.07	0	4	2	0	2	2	1	0	0
YNL044W	941.17	1412.58	969.5	1657.75	1225	1026.12	1225.5	966.79	1119	1941.88	1207.86	1467.42	492.2	1308.5	1208.25	1407	937	732.67	795.5	996.33	470.5	678.06	1076.08	1566.21
YNL026W	460.72	521.39	394.01	643.86	619.19	555.25	562.12	428.88	478.7	658.63	504.2	487.56	250.04	705.92	465.82	505.59	474.4	424.39	419.35	602.67	150.68	238.72	288.15	491.19
YNL067W	1139.17	800	1225.25	937.47	1674.29	1291	1543.83	1067.5	1190.67	1318.58	1338.67	939.58	849.56	2683.26	882.64	837.57	1584.5	1145.01	1411.83	1288.67	615.5	754	858.83	1306.58
YNL205C	18.5	14	16	12.17	24.58	21	20	21.17	19.5	17.11	24	9	13	23.5	15	16	16	21.17	26	37.5	11	9.5	7.61	12.61
YNL104C	3105.17	3382.79	3284.74	4384.42	6729.02	7343	5489.37	6247.5	3994.25	6626	4171.27	5937.95	2622.57	6554.55	3395.94	3551.52	6010.67	5654.83	8072.78	9623.63	2371.75	2907.16	3688.01	6532.92
YNL169C	157.12	167.24	168.37	208.65	274.88	254	266.5	206.69	193.33	212.14	198.89	146.25	138.67	365.11	195	176.11	223.01	288.25	302.75	512.83	93.33	110.17	92.83	203.37
YNL268W	2559.93	1569.48	2504.45	1994.28	4378.78	4035.91	3878.69	3632.78	2731.73	2367.61	3034.48	1943.31	1791.25	4276.28	1398.17	1409.04	4022.77	3805.57	4049.9	5969.89	1351.4	1820.5	1139.83	1792.52
YNL162W	2331.58	1231.38	2370.67	1347.42	3152.19	2222.69	2694.79	2134.08	2524.14	1728.75	2891.25	1339.5	1929.25	4701.31	963.53	1007.58	2983.42	2827.37	2450.09	2754.65	1547.08	1936.54	1089.97	1601.5
YNL257C	712.39	648.39	704.64	910.77	1262.14	1076.29	1102.84	915.1	732.37	868.52	961.14	634.3	559.85	1257.45	716.54	688.61	1177.37	1020.23	1142.6	1518.36	335.62	477.42	343.14	673.88
YNL229C	733.1	592.1	677.25	749.17	1148.58	856.83	1051	789.25	667.31	903.06	916.44	614	411.75	1086.83	414.17	485.73	952.02	801.4	716.08	986.06	307.08	419	368.5	604.38
YNL042W-B	6.5	117	5	167.33	5	3.06	1.17	0.83	7.12	234.25	8.06	197.67	6.5	19.9	157.54	179.75	1	1	0.83	1.67	1.5	7.17	145.28	225.25
YNL248C	1745.38	653.5	1848	801.54	2505.17	1975.21	2265.42	1558.5	1650.83	1242.17	1831	860.61	1418.67	3544.71	624	636.48	2536.33	2362.5	2055	2630.08	833.05	1148.67	666.58	1154.08
YNR045W	246.12	145.48	266.31	140.74	485.34	388.85	476.17	360.9	346.75	121.56	414.32	82.5	184.5	442.45	119.11	157.97	510.29	421	434	596.42	154.67	199	70.61	123.19
YNR051C	1327.5	877.11	1511.81	1136	2156.3	1468.5	1998.93	1380.05	1456.92	1312.46	1787	924.7	998.5	2454.65	807.69	892.15	1892.35	1844.58	1584.67	2155.4	595.2	940.27	551	922.25
YNL190W	9544.52	6075.68	9792.01	6813.8	14673.66	10942.65	13911.7	10804	13591.16	9164.51	14111.43	7562.9	6185.58	15374.1	4725.76	5501.17	12165.6	10819.13	11222.48	14093.85	6204.34	7924.38	4251.46	6369.19
YNL194C	71.96	32.9	150.24	58.96	414.81	158.59	395.67	197.3	172.92	78.46	150.21	67.5	25.22	87.94	29.5	28.39	156.42	102.5	81.64	177.1	33.62	44.23	31	34.57
YNL080C	581.68	438.6	641.87	504	1029.75	785.5	988	776.5	806	666	861	554	351	887.13	335.83	377	805.42	683.79	830.25	1034.1	268.5	432	276.92	563.25
YNR005C	1.17	0.7	0.25	0.5	1.61	0.5	0.25	0	1.62	1.5	0.2	0.2	0	1.31	0	0.12	0.5	0	0.12	1.14	0.62	1	0	0.83
YNR064C	20.14	158.22	18.42	237	27.1	33	30.33	26.17	27.25	504	28	391	10.1	30.5	104	141.62	22	17.58	29.42	20	9	6	193	352
YNL145W	4944.83	4088.94	4517.43	4840.95	1703.5	964	1497	1005.75	4776.41	4943.58	5134.79	4534.83	4858	7473.55	5292.33	5631.88	1944.5	1670.83	1008	972.5	4208.25	5152.9	4964.17	6011.42
YNR068C	89.5	55.12	108.17	97.5	259.5	290.36	227.1	239.59	124.75	122.22	136.54	91	81	196.83	57	82.37	287	252.37	264.5	385.45	48.25	70.5	50	84.75
YNL323W	573	414.42	579.25	503.5	846	648	793.78	626	580	470	602.1	376	418.17	1200	463.5	496	970	976.67	892.86	1268.47	307.5	448.5	329.33	541.17
YNL003C	209.5	322.14	223	415.4	410.25	344.27	365.3	284.12	242.75	445.33	277.5	346.83	120	355.12	304.07	349	301.33	286.12	341.58	448.5	110.33	182	226.58	353.33
YNL199C	314.42	216.32	355.25	274.15	514.67	461.19	450.92	343.21	338	307.02	394.99	200.25	290.38	704.4	247.04	236.72	585.63	592.76	546.79	706.58	157.83	221.75	139.11	274.55
YNL048W	628.55	421.86	658	510.72	1054.73	812.5	948.5	724.93	737.1	599.14	741.25	430.97	444.6	1099.86	378.63	448.26	1010.12	927.6	1024.4	1413.54	309.64	463.07	271.31	451.05
YNL072W	67.62	64.67	46.58	110.89	116.11	99.5	98.6	74.52	58.08	117.35	66.32	83.7	40	96.96	58.07	85.17	115.11	105.05	107.33	146.8	33.33	55	67.17	115.25
YNL224C	379.25	303.2	417.83	456.85	656.1	484.06	581	409.25	339.5	413.47	484.08	316.14	284.06	776.45	331.17	367.23	689.83	557.5	501.18	672.36	152.17	251.67	199.67	344.63
YNL067W-A	0	0	1	0	2	0	0	1	0	0	2.07	0	0	2	2	0	1	0.07	0	0	0	0	1	0.25
YNR032W	513.03	1115.33	502	1432.38	491.08	421.5	441.64	381.64	514.14	831.75	599.17	682.14	374.5	825.58	1209.5	1284.83	414.83	341	409.4	434.21	267	363	461.53	707.03
YNL206C	299.67	202.68	286.21	248.17	481	340.58	424.6	296.32	263.88	305.94	365.3	206.72	273	647.2	217.75	209.56	473.05	428.02	398.13	482.75	125.5	189.32	126.58	248.66
YNR062C	7.53	31.4	7.1	57.17	5.13	5.67	6.7	5	3	9.17	7.38	7.17	5.7	10.9	38	36.66	2.17	2	4.83	4.75	1	1.17	3	6.01
YNL203C	42.12	32.46	50	40	53.06	54.22	38	52.62	54.25	44.67	46.17	37.5	32.56	93.16	49	52	69	81.07	91	110.32	24	32	18.25	46.22
YNL273W	238.25	178.67	182.31	244.29	480.8	462.42	395.58	368.92	274.42	204.22	243.58	156.45	161.67	420.31	186.43	195.42	444.42	484.54	482.65	753.12	115	155.71	114.12	158.25
tI(AAU)N1	0.25	0	0	1	0.25	0	0	1	0	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	0.11
YNL213C	25.3	38.15	26.17	45.83	58.72	59.2	63.17	48.25	45.12	56.51	36.41	41.26	21.5	85.01	32.18	32.15	52.67	41.17	52.5	74.75	12	16	16.76	41.14
YNL055C	7375.96	8540.87	7502.12	10163.87	10962.95	10578.1	9753.04	9507.95	9094.61	10313.94	9175.23	9607.82	5200.58	10919.18	8211.81	9377.42	7969.87	6068.45	9603.33	8256.54	6006.64	6342.56	7735.47	10300.83
YNL170W	24	27.5	26	28.1	67.5	65.5	51.28	59	30.75	46.13	26.06	36.17	27.5	61.84	25	34.3	64.5	60.72	66.63	107.89	19.62	21.5	12.23	31.81
YNR013C	3137.5	2304.03	3225.25	2808.19	6046.58	4834.3	5738	4337.6	4018.58	3301.31	4129.56	2692.4	2081.75	5544.36	2203.27	2258.48	5065.06	5517.05	5474.04	8084.05	1689.33	2432.18	1422.48	2541.17
